# Abundance and Variation Measurements for Strains Grown in YEPD and SD
# Newman et al. Nature 2006
# ORF	Name	NA	Ave. YEPD	Error	Ave. SD	Error
orf	gene	avg.yepd.abund	avg.yepd.abund.error	avg.sd.abund	avg.sd.abund.error
YDL126C	CDC48	2023.0	78.90	1576.0	73.02
YDL128W	VCX1	249.0	24.58	129.5	23.22
YDL129W	NA	NA	NA	NA	NA
YDL130W	RPP1B	9142.5	322.58	7561.0	306.07
YDL130W-A	STF1	140.0	22.55	202.8	25.13
YDL131W	LYS21	691.5	36.17	2732.5	117.82
YDL132W	CDC53	111.0	22.28	71.0	22.84
YDL133C-A	RPL41B	6413.5	228.17	3744.2	159.99
YDL134C	PPH21	129.5	22.58	97.5	23.62
YDL135C	RDI1	358.0	27.29	351.2	28.80
YDL136W	RPL35B	2790.5	104.59	1989.0	89.23
YDL137W	ARF2	164.0	22.95	103.5	22.73
YDL139C	SCM3	NA	NA	NA	NA
YDL140C	RPO21	1379.0	57.60	1011.0	55.52
YDL141W	BPL1	155.5	23.03	156.5	24.68
YDL142C	CRD1	NA	NA	NA	NA
YDL144C	NA	89.5	21.95	88.5	23.45
YDL145C	COP1	1290.0	54.62	953.2	49.44
YDL146W	NA	NA	NA	55.0	22.51
YDL147W	RPN5	1089.5	48.25	822.5	45.93
YDL150W	RPC53	196.0	23.77	176.0	25.40
YDL152W	NA	50.0	21.24	NA	NA
YDL155W	CLB3	NA	NA	NA	NA
YDL156W	NA	NA	NA	NA	NA
YDL157C	NA	NA	NA	55.5	21.81
YDL159W	STE7	83.5	21.87	55.0	22.62
YDL160C	DHH1	619.5	34.11	572.5	36.70
YDL161W	ENT1	198.5	23.82	172.5	25.31
YDL164C	CDC9	NA	NA	NA	NA
YDL165W	CDC36	110.0	22.26	110.4	22.81
YDL166C	FAP7	244.5	24.74	243.6	25.78
YDL167C	NRP1	161.0	23.13	80.5	23.00
YDL168W	SFA1	98.5	22.09	66.0	22.97
YDL170W	UGA3	NA	NA	NA	NA
YDL171C	GLT1	642.0	34.74	1140.5	60.60
YDL173W	NA	219.5	24.23	262.5	27.71
YDL174C	DLD1	NA	NA	NA	NA
YDL175C	AIR2	NA	NA	NA	NA
YDL176W	NA	NA	NA	NA	NA
YDL178W	DLD2	237.0	24.59	352.5	30.15
YDL180W	NA	NA	NA	NA	NA
YDL181W	INH1	124.0	22.51	132.1	23.60
YDL182W	LYS20	780.0	38.41	6433.0	263.54
YDL184C	RPL41A	10529.5	371.02	6336.3	256.88
YDL185W	TFP1	4973.0	179.15	2731.1	115.77
YDL188C	PPH22	NA	NA	NA	NA
YDL189W	RBS1	128.0	22.55	104.5	23.76
YDL190C	UFD2	193.0	23.72	174.5	25.11
YDL191W	RPL35A	4919.0	177.27	3582.0	150.57
YDL192W	ARF1	4335.5	156.85	2432.0	104.17
YDL193W	NA	266.5	25.20	216.0	26.45
YDL195W	SEC31	1375.5	57.46	1173.0	58.28
YDL197C	ASF2	NA	NA	NA	NA
YDL201W	TRM8	133.5	22.65	78.5	23.19
YDL202W	MRPL11	227.5	24.39	237.0	26.97
YDL203C	NA	52.5	21.43	50.0	22.44
YDL204W	RTN2	NA	NA	64.5	22.66
YDL205C	HEM3	299.5	25.92	266.0	27.72
YDL207W	GLE1	72.0	21.52	92.5	22.53
YDL208W	NHP2	1210.5	52.21	783.3	42.86
YDL209C	CWC2	NA	NA	NA	NA
YDL211C	NA	NA	NA	NA	NA
YDL212W	SHR3	545.0	31.71	385.5	29.66
YDL213C	NOP6	574.0	32.86	416.5	32.26
YDL215C	GDH2	99.5	22.10	200.0	25.73
YDL216C	RRI1	NA	NA	NA	NA
YDL219W	DTD1	NA	NA	NA	NA
YDL220C	CDC13	NA	NA	NA	NA
YDL222C	FMP45	NA	NA	NA	NA
YDL223C	HBT1	NA	NA	NA	NA
YDL224C	WHI4	125.0	22.51	138.0	24.27
YDL225W	SHS1	330.0	26.61	255.5	27.21
YDL226C	GCS1	469.0	30.03	410.5	32.05
YDL227C	HO	NA	NA	NA	NA
YDL229W	SSB1	1218.0	52.41	968.5	50.71
YDL230W	PTP1	NA	NA	NA	NA
YDL232W	OST4	1881.0	74.01	1226.5	59.31
YDL233W	NA	NA	NA	NA	NA
YDL234C	GYP7	NA	NA	59.5	22.58
YDL235C	YPD1	317.0	26.31	204.6	24.87
YDL236W	PHO13	321.0	26.40	411.5	32.04
YDL238C	GUD1	NA	NA	NA	NA
YDL240W	LRG1	NA	NA	NA	NA
YDL248W	COS7	NA	NA	NA	NA
YDR001C	NTH1	195.0	23.75	269.0	37.19
YDR003W	RCR2	165.5	23.21	115.5	23.97
YDR004W	RAD57	NA	NA	NA	NA
YDR005C	MAF1	NA	NA	NA	NA
YDR006C	SOK1	NA	NA	NA	NA
YDR007W	TRP1	60.5	21.54	106.5	23.81
YDR009W	GAL3	NA	NA	NA	NA
YDR011W	SNQ2	533.0	31.73	341.8	29.34
YDR012W	RPL4B	3191.5	118.22	3327.5	141.50
YDR014W	RAD61	NA	NA	NA	NA
YDR016C	DAD1	91.5	21.98	136.9	23.41
YDR017C	KCS1	112.0	22.30	111.0	23.68
YDR019C	GCV1	595.5	33.44	1916.5	87.07
YDR020C	NA	104.5	22.18	NA	NA
YDR021W	FAL1	61.5	21.56	NA	NA
YDR022C	CIS1	NA	NA	NA	NA
YDR023W	SES1	2307.0	88.27	1773.0	81.53
YDR024W	NA	NA	NA	NA	NA
YDR025W	RPS11A	49.5	21.40	NA	NA
YDR026C	NA	NA	NA	NA	NA
YDR027C	VPS54	74.5	21.56	61.5	21.96
YDR028C	REG1	161.0	23.12	189.5	25.48
YDR031W	NA	NA	NA	NA	NA
YDR032C	PST2	289.5	25.69	231.4	25.47
YDR033W	MRH1	3378.5	124.15	2783.0	117.88
YDR034C	LYS14	NA	NA	NA	NA
YDR034W-B	NA	116.5	22.37	123.4	23.16
YDR035W	ARO3	548.0	32.13	1202.0	59.52
YDR036C	EHD3	222.0	34.33	171.5	25.08
YDR038C	ENA5	NA	NA	NA	NA
YDR039C	ENA2	44.5	21.32	NA	NA
YDR040C	ENA1	56.5	21.48	83.6	22.41
YDR041W	RSM10	NA	NA	NA	NA
YDR043C	NRG1	NA	NA	NA	NA
YDR044W	HEM13	304.5	26.08	127.5	24.27
YDR046C	BAP3	906.5	42.21	813.5	43.58
YDR047W	HEM12	160.0	23.10	131.5	24.36
YDR049W	NA	92.0	22.00	83.5	23.06
YDR050C	TPI1	4768.0	172.09	4138.5	171.13
YDR051C	NA	79.5	21.80	62.0	22.89
YDR052C	DBF4	NA	NA	NA	NA
YDR054C	CDC34	280.0	25.49	256.5	27.55
YDR055W	PST1	181.0	23.49	70.5	23.04
YDR056C	NA	323.5	26.46	335.0	29.69
YDR059C	UBC5	48.0	21.37	NA	NA
YDR060W	MAK21	427.0	28.98	250.5	27.07
YDR061W	NA	78.5	21.79	85.5	23.12
YDR062W	LCB2	332.5	26.38	292.5	27.22
YDR063W	NA	102.0	22.14	202.7	24.78
YDR065W	NA	NA	NA	NA	NA
YDR066C	NA	NA	NA	67.6	22.01
YDR067C	NA	NA	NA	NA	NA
YDR068W	DOS2	180.0	23.47	179.5	25.48
YDR069C	DOA4	NA	NA	NA	NA
YDR070C	FMP16	99.5	22.10	287.8	27.60
YDR071C	PAA1	167.5	23.24	61.0	22.20
YDR072C	IPT1	NA	NA	NA	NA
YDR073W	SNF11	NA	NA	NA	NA
YDR074W	TPS2	699.0	36.37	1336.5	64.19
YDR075W	PPH3	45.5	21.34	62.0	22.87
YDR076W	RAD55	NA	NA	NA	NA
YDR077W	SED1	3379.0	124.61	2147.5	94.61
YDR079C-A	TFB5	NA	NA	NA	NA
YDR079W	PET100	NA	NA	74.2	22.15
YDR080W	VPS41	NA	NA	NA	NA
YDR081C	PDC2	NA	NA	NA	NA
YDR083W	RRP8	104.0	22.17	NA	NA
YDR084C	TVP23	78.5	21.61	NA	NA
YDR086C	SSS1	432.0	29.08	269.0	26.55
YDR087C	RRP1	245.0	24.75	192.5	25.80
YDR088C	SLU7	NA	NA	NA	NA
YDR089W	NA	NA	NA	NA	NA
YDR090C	NA	160.5	23.11	107.0	23.79
YDR091C	RLI1	1224.0	52.22	772.0	42.71
YDR092W	UBC13	360.0	27.32	401.5	31.82
YDR093W	DNF2	171.5	23.31	146.5	23.63
YDR096W	GIS1	NA	NA	55.5	22.58
YDR097C	MSH6	NA	NA	NA	NA
YDR098C	GRX3	75.0	21.74	104.0	23.72
YDR099W	BMH2	2218.5	85.63	2184.0	97.05
YDR100W	TVP15	188.0	23.62	231.5	25.66
YDR101C	ARX1	748.0	37.83	378.0	30.54
YDR103W	STE5	NA	NA	NA	NA
YDR105C	TMS1	141.0	22.78	146.0	24.71
YDR108W	GSG1	NA	NA	48.0	22.38
YDR110W	FOB1	NA	NA	NA	NA
YDR111C	ALT2	57.0	21.49	55.5	22.51
YDR115W	NA	NA	NA	98.8	22.66
YDR116C	MRPL1	123.5	22.48	188.5	25.71
YDR118W	APC4	NA	NA	NA	NA
YDR119W	NA	348.5	26.79	280.0	40.43
YDR120C	TRM1	169.0	23.30	128.0	23.90
YDR121W	DPB4	NA	NA	NA	NA
YDR122W	KIN1	69.0	21.65	125.7	23.16
YDR123C	INO2	NA	NA	NA	NA
YDR125C	ECM18	NA	NA	NA	NA
YDR127W	ARO1	632.0	34.47	1564.5	77.47
YDR128W	NA	NA	NA	NA	NA
YDR129C	SAC6	1438.0	59.41	1561.0	72.44
YDR130C	FIN1	NA	NA	NA	NA
YDR131C	NA	NA	NA	NA	NA
YDR132C	NA	NA	NA	NA	NA
YDR135C	YCF1	215.5	24.15	208.9	25.08
YDR137W	RGP1	NA	NA	NA	NA
YDR138W	HPR1	54.0	21.45	50.0	22.40
YDR139C	RUB1	NA	NA	NA	NA
YDR140W	NA	64.0	21.58	NA	NA
YDR141C	DOP1	145.0	22.84	NA	NA
YDR144C	MKC7	NA	NA	NA	NA
YDR145W	TAF12	131.0	22.61	69.0	22.81
YDR146C	SWI5	NA	NA	NA	NA
YDR147W	EKI1	NA	NA	NA	NA
YDR148C	KGD2	73.0	21.54	211.0	38.38
YDR150W	NUM1	75.0	21.74	83.5	23.56
YDR152W	GIR2	572.0	32.80	272.0	28.00
YDR153C	ENT5	422.5	28.84	273.5	27.85
YDR155C	CPR1	6004.0	214.54	3841.4	158.65
YDR156W	RPA14	139.0	22.54	105.0	23.04
YDR158W	HOM2	821.0	39.99	1654.0	76.67
YDR159W	SAC3	NA	NA	NA	NA
YDR161W	NA	223.0	24.32	139.5	24.58
YDR164C	SEC1	NA	NA	NA	NA
YDR165W	TRM82	354.5	27.18	188.5	25.70
YDR166C	SEC5	128.5	22.56	115.9	22.96
YDR167W	TAF10	103.0	22.17	90.5	23.45
YDR168W	CDC37	448.5	29.50	400.5	31.25
YDR169C	STB3	96.0	31.18	91.5	23.23
YDR170C	SEC7	322.0	26.42	249.7	25.99
YDR170W-A	NA	593.5	33.38	589.5	37.80
YDR171W	HSP42	183.0	23.52	232.5	26.85
YDR172W	SUP35	2617.0	98.84	2233.5	98.03
YDR173C	ARG82	NA	NA	NA	NA
YDR174W	HMO1	574.5	32.88	668.5	40.25
YDR175C	RSM24	185.0	23.34	172.5	25.32
YDR176W	NGG1	NA	NA	NA	NA
YDR177W	UBC1	263.0	25.14	119.0	24.13
YDR178W	SDH4	55.5	21.31	140.5	23.43
YDR179C	CSN9	NA	NA	48.3	21.70
YDR180W	SCC2	NA	NA	NA	NA
YDR181C	SAS4	NA	NA	NA	NA
YDR182W	CDC1	NA	NA	NA	NA
YDR183W	PLP1	NA	NA	NA	NA
YDR184C	ATC1	NA	NA	NA	NA
YDR185C	NA	NA	NA	NA	NA
YDR186C	NA	50.5	21.40	NA	NA
YDR189W	SLY1	361.0	27.04	278.9	26.74
YDR190C	RVB1	519.5	31.36	365.0	30.52
YDR191W	HST4	NA	NA	NA	NA
YDR193W	NA	NA	NA	NA	NA
YDR194C	MSS116	427.0	28.95	421.5	31.97
YDR195W	REF2	79.0	21.80	63.0	22.72
YDR196C	NA	84.5	21.88	80.5	23.25
YDR197W	CBS2	NA	NA	NA	NA
YDR200C	VPS64	NA	NA	NA	NA
YDR201W	SPC19	NA	NA	NA	NA
YDR202C	RAV2	52.0	21.26	51.0	21.76
YDR204W	COQ4	NA	NA	NA	NA
YDR205W	MSC2	93.5	21.83	NA	NA
YDR207C	UME6	45.5	21.34	NA	NA
YDR208W	MSS4	NA	NA	59.5	22.64
YDR210W	NA	159.5	23.12	77.0	22.28
YDR211W	GCD6	487.0	30.50	327.5	29.17
YDR213W	UPC2	NA	NA	NA	NA
YDR214W	AHA1	812.5	39.72	542.0	36.15
YDR216W	ADR1	NA	NA	NA	NA
YDR217C	RAD9	NA	NA	NA	NA
YDR219C	NA	56.5	21.48	53.0	22.70
YDR221W	NA	64.5	21.59	49.5	22.42
YDR222W	NA	NA	NA	NA	NA
YDR224C	HTB1	NA	NA	14072.8	562.30
YDR225W	HTA1	NA	NA	NA	NA
YDR226W	ADK1	3870.5	141.37	3286.5	139.65
YDR227W	SIR4	70.0	21.67	119.5	23.84
YDR228C	PCF11	NA	NA	NA	NA
YDR229W	IVY1	123.5	22.48	100.5	23.68
YDR231C	COX20	NA	NA	66.5	22.95
YDR232W	HEM1	160.0	23.10	222.0	26.40
YDR233C	RTN1	2599.5	98.22	2648.0	114.45
YDR234W	LYS4	284.0	25.57	1259.0	61.21
YDR235W	PRP42	48.0	21.37	NA	NA
YDR236C	FMN1	NA	NA	NA	NA
YDR238C	SEC26	1466.0	60.33	1059.5	52.48
YDR239C	NA	82.5	21.85	55.0	22.51
YDR240C	SNU56	NA	NA	NA	NA
YDR243C	PRP28	NA	NA	NA	NA
YDR244W	PEX5	58.0	21.34	NA	NA
YDR245W	MNN10	132.0	22.42	161.0	23.87
YDR246W	TRS23	147.5	22.67	116.0	22.92
YDR247W	VHS1	123.0	22.47	90.5	23.47
YDR248C	NA	NA	NA	49.2	22.10
YDR250C	NA	59.5	21.52	NA	NA
YDR251W	PAM1	NA	NA	NA	NA
YDR252W	BTT1	52.5	21.43	65.2	21.98
YDR253C	MET32	NA	NA	NA	NA
YDR254W	CHL4	NA	NA	NA	NA
YDR257C	SET7	183.0	23.53	240.0	26.69
YDR258C	HSP78	233.0	24.51	329.5	29.21
YDR261C	EXG2	75.0	21.74	NA	NA
YDR262W	NA	87.0	21.73	NA	NA
YDR264C	AKR1	333.0	26.40	157.9	23.96
YDR265W	PEX10	NA	NA	NA	NA
YDR266C	NA	115.5	22.35	98.5	23.37
YDR267C	NA	NA	NA	NA	NA
YDR268W	MSW1	NA	NA	51.0	22.64
YDR270W	CCC2	65.0	21.60	NA	NA
YDR272W	GLO2	355.0	27.19	361.0	30.53
YDR275W	BSC2	NA	NA	NA	NA
YDR276C	PMP3	NA	NA	NA	NA
YDR279W	RNH202	NA	NA	NA	NA
YDR280W	RRP45	286.5	25.65	217.5	26.49
YDR281C	PHM6	NA	NA	NA	NA
YDR283C	GCN2	NA	NA	NA	NA
YDR284C	DPP1	NA	NA	NA	NA
YDR288W	NSE3	NA	NA	NA	NA
YDR291W	NA	NA	NA	NA	NA
YDR293C	SSD1	577.5	32.93	579.5	37.13
YDR294C	DPL1	275.5	25.39	247.0	26.81
YDR295C	HDA2	NA	NA	NA	NA
YDR296W	MHR1	226.5	24.38	329.5	29.69
YDR297W	SUR2	811.0	39.31	286.5	26.95
YDR298C	ATP5	1220.0	52.03	1226.0	58.64
YDR299W	BFR2	361.0	27.34	184.0	25.34
YDR300C	PRO1	614.5	33.99	401.0	31.73
YDR301W	CFT1	45.0	21.33	NA	NA
YDR302W	GPI11	431.0	29.06	358.5	30.39
YDR303C	RSC3	397.5	28.22	358.0	30.26
YDR304C	CPR5	112.5	22.30	NA	NA
YDR305C	HNT2	NA	NA	NA	NA
YDR307W	NA	132.0	22.62	127.0	24.03
YDR308C	SRB7	NA	NA	53.4	21.80
YDR309C	GIC2	68.0	21.64	NA	NA
YDR310C	SUM1	NA	NA	NA	NA
YDR311W	TFB1	57.5	21.51	NA	NA
YDR312W	SSF2	91.5	21.98	52.0	22.69
YDR313C	PIB1	51.5	21.25	82.0	22.28
YDR314C	NA	NA	NA	NA	NA
YDR316W	OMS1	NA	NA	NA	NA
YDR318W	MCM21	NA	NA	NA	NA
YDR319C	NA	NA	NA	NA	NA
YDR320C	SWA2	118.5	22.40	103.0	23.50
YDR320C-A	DAD4	128.0	22.56	110.3	22.82
YDR322C-A	TIM11	80.0	21.81	103.1	22.74
YDR322W	MRPL35	183.5	23.53	175.0	25.39
YDR323C	PEP7	NA	NA	NA	NA
YDR324C	UTP4	211.0	24.06	124.0	23.90
YDR325W	YCG1	NA	NA	NA	NA
YDR326C	NA	NA	NA	NA	NA
YDR328C	SKP1	375.0	27.67	306.0	27.41
YDR329C	PEX3	71.0	21.68	76.0	22.20
YDR330W	UBX5	106.5	22.21	275.0	27.66
YDR331W	GPI8	225.5	24.10	142.5	23.46
YDR332W	NA	NA	NA	NA	NA
YDR333C	NA	NA	NA	NA	NA
YDR334W	SWR1	NA	NA	NA	NA
YDR335W	MSN5	171.0	23.32	130.0	24.08
YDR337W	MRPS28	NA	NA	NA	NA
YDR338C	NA	NA	NA	NA	NA
YDR343C	HXT6	3384.5	124.36	3095.5	130.08
YDR344C	NA	NA	NA	NA	NA
YDR345C	HXT3	3521.0	129.02	3056.5	128.06
YDR346C	SVF1	1241.5	53.07	773.5	43.58
YDR347W	MRP1	226.5	24.39	214.0	26.40
YDR348C	NA	NA	NA	181.5	25.26
YDR349C	YPS7	47.0	21.36	NA	NA
YDR350C	TCM10	NA	NA	NA	NA
YDR352W	NA	248.5	24.85	173.0	25.35
YDR353W	TRR1	2484.5	94.35	1875.0	83.55
YDR354W	TRP4	109.0	22.25	517.0	35.25
YDR356W	SPC110	NA	NA	NA	NA
YDR357C	NA	NA	NA	NA	NA
YDR358W	GGA1	73.0	21.71	119.5	23.80
YDR361C	BCP1	355.0	27.20	224.5	26.64
YDR362C	TFC6	NA	NA	NA	NA
YDR363W	ESC2	NA	NA	NA	NA
YDR363W-A	SEM1	987.0	45.04	744.3	41.35
YDR364C	CDC40	108.0	22.23	NA	NA
YDR365C	ESF1	404.5	28.41	NA	NA
YDR367W	NA	244.0	24.73	184.5	25.63
YDR368W	YPR1	385.5	27.92	264.0	27.71
YDR369C	XRS2	NA	NA	NA	NA
YDR370C	NA	NA	NA	NA	NA
YDR371W	CTS2	NA	NA	NA	NA
YDR372C	VPS74	234.5	24.53	232.5	26.93
YDR373W	FRQ1	143.0	22.60	87.5	22.40
YDR375C	BCS1	NA	NA	52.0	21.77
YDR376W	ARH1	NA	NA	NA	NA
YDR377W	ATP17	214.0	23.87	344.0	28.39
YDR379C-A	NA	NA	NA	NA	NA
YDR379W	RGA2	50.0	21.24	52.5	22.49
YDR380W	ARO10	45.0	21.33	NA	NA
YDR381W	YRA1	4931.0	177.69	3782.0	157.42
YDR382W	RPP2B	8027.5	283.76	6067.1	248.13
YDR384C	ATO3	158.0	23.07	72.5	23.09
YDR385W	EFT2	8764.0	309.51	4113.5	170.43
YDR388W	RVS167	444.5	29.40	463.0	33.26
YDR389W	SAC7	101.0	22.13	110.0	23.65
YDR390C	UBA2	87.5	21.92	73.5	22.87
YDR391C	NA	68.5	21.65	87.0	23.40
YDR392W	SPT3	NA	NA	NA	NA
YDR394W	RPT3	131.0	22.61	111.0	23.89
YDR395W	SXM1	491.5	30.62	266.5	27.48
YDR397C	NCB2	302.5	26.03	321.7	27.99
YDR398W	UTP5	407.5	28.16	213.0	25.99
YDR399W	HPT1	1615.0	65.31	1287.0	62.29
YDR400W	URH1	89.0	21.94	NA	NA
YDR404C	RPB7	584.0	33.12	546.4	34.59
YDR405W	MRP20	113.0	22.31	157.5	25.00
YDR407C	TRS120	NA	NA	NA	NA
YDR408C	ADE8	408.0	28.48	656.5	39.95
YDR409W	SIZ1	NA	NA	NA	NA
YDR410C	STE14	59.0	21.35	97.5	22.56
YDR411C	DFM1	97.5	22.07	147.0	24.69
YDR412W	NA	115.5	22.37	49.5	22.65
YDR414C	ERD1	NA	NA	NA	NA
YDR416W	SYF1	NA	NA	NA	NA
YDR418W	RPL12B	5767.0	206.38	3942.3	162.16
YDR419W	RAD30	NA	NA	NA	NA
YDR421W	ARO80	NA	NA	NA	NA
YDR422C	SIP1	NA	NA	50.0	22.45
YDR423C	CAD1	NA	NA	NA	NA
YDR424C	DYN2	NA	NA	84.2	22.31
YDR425W	SNX41	NA	NA	53.0	22.48
YDR427W	RPN9	1028.0	46.31	1108.5	56.25
YDR429C	TIF35	NA	NA	NA	NA
YDR430C	CYM1	139.0	22.74	113.0	23.72
YDR432W	NPL3	4298.5	156.34	2933.0	123.46
YDR434W	GPI17	190.5	23.67	142.0	24.37
YDR436W	PPZ2	NA	NA	NA	NA
YDR437W	NA	NA	NA	NA	NA
YDR439W	LRS4	NA	NA	NA	NA
YDR440W	DOT1	NA	NA	NA	NA
YDR441C	APT2	88.0	21.93	NA	NA
YDR443C	SSN2	NA	NA	NA	NA
YDR444W	NA	NA	NA	NA	NA
YDR447C	RPS17B	4988.0	180.20	3752.0	157.47
YDR448W	ADA2	59.0	21.52	65.5	22.91
YDR449C	UTP6	280.0	25.49	150.0	24.79
YDR450W	RPS18A	166.0	23.21	91.0	23.47
YDR451C	YHP1	NA	NA	NA	NA
YDR452W	PPN1	NA	NA	NA	NA
YDR453C	TSA2	131.5	22.61	127.5	23.13
YDR454C	GUK1	806.5	39.56	633.1	37.40
YDR456W	NHX1	121.0	22.24	98.0	22.59
YDR457W	TOM1	NA	NA	48.5	22.80
YDR458C	NA	46.0	21.35	NA	NA
YDR460W	TFB3	58.5	21.52	NA	NA
YDR461W	MFA1	2197.5	84.45	NA	NA
YDR462W	MRPL28	177.5	23.42	199.7	24.78
YDR463W	STP1	NA	NA	NA	NA
YDR464W	SPP41	NA	NA	NA	NA
YDR465C	RMT2	184.5	23.55	87.0	23.36
YDR469W	SDC1	NA	NA	NA	NA
YDR471W	RPL27B	3454.5	127.34	2512.0	109.44
YDR472W	TRS31	139.0	22.54	NA	NA
YDR473C	PRP3	NA	NA	49.5	22.62
YDR474C	NA	NA	NA	NA	NA
YDR476C	NA	107.0	22.22	63.0	22.91
YDR477W	SNF1	272.5	25.33	310.5	28.48
YDR478W	SNM1	NA	NA	NA	NA
YDR479C	PEX29	NA	NA	69.0	22.80
YDR480W	DIG2	NA	NA	NA	NA
YDR481C	PHO8	58.5	21.35	NA	NA
YDR482C	CWC21	70.5	21.68	NA	NA
YDR483W	KRE2	204.0	23.68	NA	NA
YDR484W	VPS52	66.5	21.45	106.5	22.81
YDR485C	VPS72	NA	NA	NA	NA
YDR486C	VPS60	136.0	22.69	107.0	23.80
YDR487C	RIB3	449.0	29.53	615.5	38.72
YDR492W	IZH1	NA	NA	NA	NA
YDR493W	FMP36	NA	NA	NA	NA
YDR495C	VPS3	NA	NA	NA	NA
YDR496C	PUF6	735.0	37.45	374.5	30.58
YDR497C	ITR1	494.5	30.36	1283.5	61.45
YDR498C	SEC20	NA	NA	55.5	21.84
YDR499W	LCD1	NA	NA	NA	NA
YDR500C	RPL37B	2820.5	105.61	2236.0	98.60
YDR502C	SAM2	1372.0	57.35	1560.5	72.87
YDR503C	LPP1	44.5	21.17	55.5	21.83
YDR505C	PSP1	75.5	21.74	NA	NA
YDR507C	GIN4	153.5	22.99	92.0	23.16
YDR508C	GNP1	2635.5	98.92	3452.7	143.60
YDR510W	SMT3	1136.0	49.31	922.4	47.34
YDR511W	ACN9	NA	NA	61.3	21.93
YDR513W	TTR1	62.0	21.56	NA	NA
YDR514C	NA	NA	NA	NA	NA
YDR515W	SLF1	118.0	22.39	73.0	23.13
YDR516C	EMI2	101.0	21.95	79.5	23.00
YDR517W	GRH1	316.0	26.29	245.0	27.22
YDR519W	FPR2	51.5	21.42	52.5	21.83
YDR520C	NA	NA	NA	NA	NA
YDR523C	SPS1	NA	NA	NA	NA
YDR524C	AGE1	115.0	22.34	NA	NA
YDR525W-A	SNA2	1155.0	50.37	685.0	40.39
YDR527W	RBA50	124.0	22.49	102.0	23.71
YDR528W	HLR1	48.0	21.37	NA	NA
YDR529C	QCR7	783.5	38.85	1381.5	64.17
YDR530C	APA2	NA	NA	NA	NA
YDR531W	NA	66.0	21.61	97.0	23.60
YDR532C	NA	NA	NA	NA	NA
YDR533C	HSP31	NA	NA	147.5	24.71
YDR538W	PAD1	NA	NA	NA	NA
YDR539W	NA	58.0	21.50	63.5	22.66
YDR540C	NA	NA	NA	NA	NA
YEL001C	NA	820.5	39.59	525.0	34.02
YEL002C	WBP1	760.0	38.16	616.0	36.94
YEL003W	GIM4	86.5	21.72	61.5	21.93
YEL005C	VAB2	NA	NA	NA	NA
YEL006W	NA	NA	NA	NA	NA
YEL007W	NA	225.5	24.35	255.0	27.19
YEL008W	NA	NA	NA	NA	NA
YEL009C	GCN4	NA	NA	NA	NA
YEL011W	GLC3	NA	NA	78.5	23.03
YEL012W	UBC8	60.5	21.54	75.5	23.18
YEL013W	VAC8	512.0	30.82	458.5	31.99
YEL014C	NA	132.5	22.43	57.3	21.84
YEL015W	EDC3	154.0	23.00	148.5	24.55
YEL017C-A	PMP2	5068.5	182.45	3451.5	143.89
YEL017W	GTT3	NA	NA	73.5	23.09
YEL018W	EAF5	NA	NA	NA	NA
YEL019C	MMS21	62.0	21.56	NA	NA
YEL020C	NA	NA	NA	NA	NA
YEL022W	GEA2	263.5	25.13	166.5	25.52
YEL024W	RIP1	119.5	22.23	353.5	29.05
YEL025C	NA	NA	NA	NA	NA
YEL027W	CUP5	2158.0	83.00	1621.5	73.69
YEL029C	BUD16	NA	NA	NA	NA
YEL031W	SPF1	1279.5	54.29	916.6	47.87
YEL036C	ANP1	133.5	22.44	63.0	21.97
YEL037C	RAD23	66.5	21.63	NA	NA
YEL038W	UTR4	93.5	22.01	56.0	22.78
YEL039C	CYC7	NA	NA	81.5	22.29
YEL040W	UTR2	684.0	35.97	749.0	43.30
YEL042W	GDA1	80.5	21.64	NA	NA
YEL043W	NA	66.0	21.61	60.0	22.63
YEL044W	IES6	NA	NA	235.8	25.57
YEL046C	GLY1	7490.0	266.92	6170.5	252.44
YEL047C	NA	651.0	35.04	640.5	39.43
YEL048C	NA	72.0	21.70	NA	NA
YEL050C	RML2	NA	NA	NA	NA
YEL051W	VMA8	978.0	44.55	720.5	40.35
YEL052W	AFG1	111.0	22.28	129.5	24.09
YEL053C	MAK10	NA	NA	NA	NA
YEL054C	RPL12A	1248.0	53.39	1097.0	54.58
YEL055C	POL5	172.0	23.34	70.5	22.86
YEL058W	PCM1	70.5	21.67	87.0	23.13
YEL059C-A	SOM1	NA	NA	NA	NA
YEL060C	PRB1	169.5	23.28	118.0	23.78
YEL061C	CIN8	NA	NA	NA	NA
YEL062W	NPR2	NA	NA	NA	NA
YEL063C	CAN1	651.5	34.65	1008.5	50.93
YEL065W	SIT1	147.5	22.71	NA	NA
YEL066W	HPA3	96.5	22.05	NA	NA
YEL071W	DLD3	1188.5	51.38	2404.5	105.83
YEL073C	NA	NA	NA	NA	NA
YER001W	MNN1	90.5	21.96	98.8	22.59
YER002W	NOP16	351.0	27.10	286.5	28.43
YER003C	PMI40	704.5	36.53	525.5	35.66
YER004W	FMP52	162.5	23.16	128.5	24.33
YER005W	YND1	NA	NA	NA	NA
YER006W	NUG1	559.0	32.43	322.5	28.91
YER007C-A	NA	434.5	29.15	259.5	27.61
YER008C	SEC3	153.5	22.99	59.5	22.01
YER011W	TIR1	139.0	22.76	NA	NA
YER013W	PRP22	NA	NA	NA	NA
YER014W	HEM14	NA	NA	49.5	21.78
